id,locatie,datasoort,j2006,j2007,j2008,j2009,j2011,regio
110,Agniesebuurt,vandalisme,10.8,5.8,14.4,12.4,11.8,Noord
111,Provenierswijk,vandalisme,3.9,3.3,7.1,7.9,7.7,Noord
112,Bergpolder,vandalisme,8.6,5.2,8.9,9.2,7.8,Noord
113,Blijdorp,vandalisme,1.7,2,1.8,3.2,2.7,Noord
114,Liskwartier,vandalisme,3.5,7.9,5.2,9.4,4.2,Noord
115,Oude Noorden,vandalisme,17.3,9.2,15.7,14.6,16.2,Noord
116,Noord,vandalisme,9.2,6.2,9.6,10.1,9.4,Noord
117,Rotterdam,vandalisme,8.2,6.7,9.9,10.2,10.1,Noord
