id,locatie,datasoort,j2006,j2007,j2008,j2009,j2011,regio
63,Agniesebuurt,drugsoverlast,10.8,5.8,14.4,12.4,11.8,Noord
64,Provenierswijk,drugsoverlast,3.9,3.3,7.1,7.9,7.7,Noord
65,Bergpolder,drugsoverlast,8.6,5.2,8.9,9.2,7.8,Noord
66,Blijdorp,drugsoverlast,1.7,2,1.8,3.2,2.7,Noord
67,Liskwartier,drugsoverlast,3.5,7.9,5.2,9.4,4.2,Noord
68,Oude Noorden,drugsoverlast,17.3,9.2,15.7,14.6,16.2,Noord
69,Noord,drugsoverlast,9.2,6.2,9.6,10.1,9.4,Noord
70,Rotterdam,drugsoverlast,8.2,6.7,9.9,10.2,10.1,Noord
