id,locatie,datasoort,j2006,j2007,j2008,j2009,j2011,regio
55,Agniesebuurt,fietsdiefstal,30.2,21.5,27.8,24.4,27.1,Noord
56,Provenierswijk,fietsdiefstal,29.4,27,32.4,24,29.7,Noord
57,Bergpolder,fietsdiefstal,25.7,23.5,18.4,17.8,20.8,Noord
58,Blijdorp,fietsdiefstal,23,22.7,20.4,15.9,19.8,Noord
59,Liskwartier,fietsdiefstal,21.8,23.6,22.3,22.7,23.4,Noord
60,Oude Noorden,fietsdiefstal,31.7,21.9,35.8,26,24.8,Noord
61,Noord,fietsdiefstal,27.3,23,27.3,22.1,23.7,Noord
62,Rotterdam,fietsdiefstal,18.7,18.2,20,18.5,18.2,Noord
