id,locatie,datasoort,j2006,j2007,j2008,j2009,j2011,regio
19,Kop van Zuid Entrepot,fietsdiefstal,21.5,17.3,17.1,15,12.3,Feyenoord
20,Vreewijk,fietsdiefstal,21,18.4,17.2,18.1,15.7,Feyenoord
21,Bloemhof,fietsdiefstal,22.1,20.1,21.9,23.5,26.8,Feyenoord
22,Hillesluis,fietsdiefstal,18.3,19.2,22.7,19.9,20.3,Feyenoord
23,Katendrecht,fietsdiefstal,22.8,15.9,24.6,10.4,7.9,Feyenoord
24,Afrikaanderwijk,fietsdiefstal,19.4,14.7,20.1,22.8,17.2,Feyenoord
25,Noordereiland,fietsdiefstal,21.2,12.4,17.7,20.7,12.5,Feyenoord
26,Feijenoord,fietsdiefstal,19.8,18.9,20.6,20.2,18.3,Feyenoord
27,Rotterdam,fietsdiefstal,18.7,18.2,20,18.5,18.2,Feyenoord
